Model,runs,test_auc_mean,test_auc_std,test_auc_ci_low_mean,test_auc_ci_high_mean,test_acc_mean,test_f1_mean,test_prec_mean,test_recall_mean,AUC_with_CI
CatBoost,3,0.755,0.001,0.734,0.775,0.779,0.76,0.756,0.779,0.755 ± 0.001 (CI 0.734–0.775)
ExtraTrees,3,0.747,0.0,0.731,0.764,0.735,0.745,0.761,0.735,0.747 ± 0.000 (CI 0.731–0.764)
GradientBoosting,3,0.743,0.002,0.731,0.758,0.763,0.749,0.742,0.763,0.743 ± 0.002 (CI 0.731–0.758)
RandomForest,3,0.739,0.003,0.73,0.75,0.739,0.742,0.746,0.739,0.739 ± 0.003 (CI 0.730–0.750)
HistGradientBoosting,3,0.735,0.005,0.717,0.753,0.758,0.747,0.741,0.758,0.735 ± 0.005 (CI 0.717–0.753)
RBF_SVM,3,0.724,0.004,0.694,0.75,0.719,0.729,0.745,0.719,0.724 ± 0.004 (CI 0.694–0.750)
Voting,3,0.72,0.008,0.696,0.742,0.705,0.716,0.735,0.705,0.720 ± 0.008 (CI 0.696–0.742)
Stacking,3,0.716,0.007,0.69,0.74,0.716,0.724,0.736,0.716,0.716 ± 0.007 (CI 0.690–0.740)
KNN,3,0.712,0.006,0.68,0.739,0.569,0.598,0.753,0.569,0.712 ± 0.006 (CI 0.680–0.739)
NaiveBayes,3,0.705,0.003,0.686,0.725,0.656,0.68,0.739,0.656,0.705 ± 0.003 (CI 0.686–0.725)
QDA,3,0.701,0.003,0.679,0.728,0.675,0.695,0.735,0.675,0.701 ± 0.003 (CI 0.679–0.728)
AdaBoost,3,0.7,0.002,0.689,0.712,0.678,0.697,0.741,0.678,0.700 ± 0.002 (CI 0.689–0.712)
MLP,3,0.692,0.012,0.662,0.726,0.717,0.722,0.729,0.717,0.692 ± 0.012 (CI 0.662–0.726)
LogisticRegression,3,0.688,0.001,0.679,0.693,0.651,0.675,0.735,0.651,0.688 ± 0.001 (CI 0.679–0.693)
Linear_SVM,3,0.687,0.002,0.68,0.693,0.639,0.665,0.736,0.639,0.687 ± 0.002 (CI 0.680–0.693)
DecisionTree,3,0.64,0.01,0.614,0.664,0.619,0.644,0.72,0.619,0.640 ± 0.010 (CI 0.614–0.664)
